6495	1
7188	1
6088	1
13751	1
18417	1
3994	1
4752	1
16953	1
10470	1
15728	1
15048	1
13793	1
16999	1
9630	1
17836	1
15204	2
14864	2
18341	2
11083	2
5854	3
7976	3
12693	3
10519	3
3054	4
4838	4
8176	5
9184	5
16598	5
16432	5
2871	5
7631	6
4387	6
5792	6
18146	6
3352	6
2183	6
16544	6
1189	6
4214	6
10279	6
1795	6
12955	6
2201	6
16638	6
6471	6
16795	6
14366	6
8879	6
12591	6
4438    7
11237	8
4038	8
8402	8
9969	8
7186	8
16118	8
2392	8
14691	8
10203	8
13574	8
11103	8
10748	8
13291	8
7883	8
6932	8
12085	8
8860	8
17480	8
3894	8
8286	8
6009	8
10942	8
5734	8
965	    8
9224	8
17363	8
13451	8
12897	8
16248	9
16651	9
9807	9
6278	9
17464	9
14910	9
340	    9
17353	9
4554	9
5849	9
13124	9
6364	9
18705	9
6097	9
16555	9
9906	9
3278	9
15942	9
16787	9
6031	9
8134	9
16043	9
9940	9
14020	9
12941	9
9256	9
3829	9
17436	9
2038	9
8912	9
7741	9
8802	9
7624	9
9869	9
18123	9
18465	9
17319	9
8200	9
9612	9
2626	9
14840	9
